,HD,Tel,Ca4227,G4300,HgF,Fe4383,Fe 4531,Fe 4668,Hb,Fe 5015,Mg2,Mgb,Fe5270,Fe 5406,NaD
151,136580,N,0.271,2.57,2.11,1.67,1.74,1.07,3.48,3.54,0.075,1.48,1.25,0.443,0.947
152,136654,N,0.538,2.7,2.54,1.39,2.13,1.96,3.97,4.14,0.0726,1.17,1.44,0.537,1.02
153,136834,N,3.27,6.93,-1.62,10.1,3.67,7.58,1.04,4.7,0.456,8.49,4.53,3.24,5.7
154,136923,N,1.87,6.52,-1.67,5.59,3.2,4.0,1.76,3.45,0.219,4.54,2.7,1.64,2.16
155,137510,N,0.113,2.9,2.53,3.35,2.52,4.37,3.37,5.73,0.125,2.3,2.15,0.994,1.43
156,137510,K,0.435,4.84,0.604,3.04,3.13,4.69,3.25,5.29,0.108,1.62,1.99,0.855,1.62
157,137778,K,2.44,5.86,-1.55,8.1,4.21,6.46,1.43,6.59,0.315,5.48,3.93,2.63,4.67
158,138573,N,0.847,5.39,-0.569,4.23,2.37,3.43,2.44,3.05,0.142,2.56,2.25,1.07,1.56
159,139323,N,3.2,6.5,-3.09,8.44,4.57,8.86,1.29,8.03,0.395,6.65,4.64,3.15,4.72
160,139324,N,0.755,5.02,0.24,2.99,2.55,3.57,2.89,5.18,0.116,1.96,2.08,1.01,1.45
161,139324,K,0.52,4.8,-0.0381,3.86,2.6,3.43,2.98,4.55,0.113,1.93,1.88,0.781,1.55
162,139457,N,0.429,3.02,1.71,1.7,1.84,0.496,2.97,1.52,0.0706,1.36,1.21,0.523,1.05
163,139457,K,0.32,3.49,1.68,1.34,1.78,0.464,3.15,2.54,0.0648,1.02,1.13,0.242,0.922
164,142229,N,0.951,4.46,0.391,3.33,2.04,-1.09,2.53,4.57,0.12,2.21,2.34,1.11,1.67
165,142229,N,0.731,3.89,0.787,2.27,2.31,2.01,2.74,4.6,0.109,2.53,2.32,0.962,1.61
166,142229,K,0.807,4.39,0.0796,3.58,2.68,2.67,2.71,4.24,0.105,1.96,1.78,0.888,1.55
167,142373,N,0.154,4.51,0.52,1.84,1.84,0.574,2.28,3.11,0.0841,1.52,1.45,0.467,1.06
168,143291,N,1.66,6.33,-1.58,5.31,2.63,-0.778,1.59,4.12,0.227,4.8,2.49,1.42,1.94
169,143291,N,1.46,6.08,-1.2,4.43,2.43,2.93,1.26,4.06,0.226,5.64,2.61,1.52,2.03
170,143761,N,0.794,4.66,0.0369,2.62,2.14,1.82,2.41,3.74,0.108,2.27,1.38,0.399,1.05
171,143761,K,0.66,4.76,-0.191,3.09,2.25,1.79,2.44,3.59,0.101,2.11,1.37,0.637,1.19
172,144579,N,1.58,5.76,-2.31,3.97,2.05,1.86,1.38,2.2,0.208,5.12,1.77,0.893,1.69
173,145229,N,0.652,3.96,0.453,2.64,2.66,1.48,2.58,3.98,0.104,2.09,1.62,0.624,1.33
174,148467,N,6.14,4.73,-1.52,8.05,5.68,-2.99,1.79,4.73,0.581,9.23,5.04,4.04,8.8
175,148467,K,6.91,5.55,-1.35,8.63,5.56,-3.24,1.33,5.9,0.559,8.38,5.0,3.91,9.8
176,149200,K,0.6,2.9,2.35,2.32,2.4,2.07,3.73,4.0,0.0665,1.37,1.38,0.521,1.04
177,149652,N,0.435,2.84,2.35,1.57,1.77,0.811,3.6,2.95,0.0745,0.941,1.48,0.49,0.964
178,149661,N,1.43,6.35,-1.01,5.66,3.35,4.51,1.42,5.62,0.27,5.39,3.31,2.05,2.95
179,149806,N,1.6,6.74,-1.64,6.86,3.34,6.78,1.76,4.03,0.27,5.42,3.32,2.1,3.04
180,150933,N,0.841,3.88,1.33,2.6,2.37,2.46,3.29,4.49,0.104,1.67,1.64,0.721,1.3
181,151044,N,0.709,3.75,1.64,2.16,2.02,1.72,3.15,3.86,0.0922,1.47,1.59,0.708,1.01
182,151090,N,1.4,7.6,-1.85,5.66,2.76,4.18,1.22,4.67,0.2,3.82,2.36,1.28,1.51
183,151090,K,1.25,6.02,-1.86,5.27,3.21,4.44,1.31,4.7,0.203,3.74,2.62,1.51,1.93
