,ID,CN 1,e_CN 1,CN 2,e_CN 2,Ca4227,e_Ca4227,G4300,e_G 300,Fe4383,e_Fe4383,Ca 4455,e_Ca 4455,Fe 4531,e_Fe 4531,C 24668,e_C 24668,Hb,e_Hb,Fe 5015,e_Fe 5015,Mg1,e_Mg1,Mg2,e_Mg2,Mgb,e_Mgb,Fe5270,e_Fe5270,Fe5335,e_Fe5335,Fe 5406,e_Fe 5406,Fe 5709,e_Fe 5709,Fe 5782,e_Fe 5782,NaD,e_NaD,TiO1,e_TiO1,TiO2,e_TiO2
276,B377-G308,-0.079,0.004,-0.055,0.006,0.28,0.09,2.15,0.15,0.35,0.22,0.12,0.11,1.3,0.16,0.49,0.24,2.53,0.09,1.48,0.19,0.0184,0.0019,0.0653,0.0021,1.02,0.09,0.95,0.1,0.85,0.12,0.41,0.08,0.37,0.07,0.18,0.06,1.63,0.09,0.0128,0.0018,0.004,0.0015
277,B378-G311,-0.076,0.007,-0.057,0.008,0.21,0.13,1.8,0.21,0.95,0.32,0.24,0.15,1.22,0.23,0.15,0.32,2.48,0.12,1.83,0.26,0.0148,0.0026,0.0613,0.003,0.63,0.13,1.0,0.14,0.69,0.16,0.32,0.12,0.3,0.1,0.3,0.09,1.07,0.14,0.0048,0.0028,0.0009,0.0023
278,B379-G312,0.032,0.003,0.056,0.004,0.8,0.05,4.59,0.08,3.29,0.12,0.82,0.06,2.92,0.09,3.37,0.12,1.81,0.05,4.27,0.1,0.0586,0.001,0.1821,0.0012,3.02,0.05,2.4,0.05,1.99,0.06,1.41,0.04,0.79,0.03,0.61,0.03,2.48,0.04,0.0349,0.0009,0.0615,0.0008
279,B381-G315,-0.023,0.006,-0.002,0.007,0.31,0.12,3.8,0.19,1.5,0.29,0.54,0.14,1.75,0.21,0.7,0.31,1.96,0.12,2.71,0.25,0.0308,0.0025,0.1044,0.0028,1.75,0.12,1.47,0.13,1.19,0.15,0.8,0.11,0.62,0.08,0.36,0.08,1.61,0.11,0.0112,0.0024,0.0205,0.002
280,B382-G317,-0.072,0.005,-0.047,0.006,0.46,0.09,1.98,0.15,0.19,0.25,0.18,0.11,1.3,0.16,0.45,0.24,2.46,0.09,1.86,0.2,0.019,0.002,0.0649,0.0022,0.91,0.09,0.8,0.1,0.55,0.12,0.44,0.09,0.32,0.07,0.29,0.07,1.68,0.1,0.0092,0.0021,0.0034,0.0017
281,B383-G318,0.037,0.003,0.064,0.003,0.68,0.05,4.87,0.08,3.08,0.11,0.91,0.06,2.85,0.08,2.59,0.12,1.7,0.05,3.8,0.09,0.0572,0.001,0.1785,0.0011,3.07,0.04,2.12,0.05,1.78,0.06,1.2,0.04,0.7,0.03,0.5,0.03,2.49,0.04,0.0314,0.0009,0.0615,0.0007
282,B384-G319,0.013,0.002,0.034,0.003,0.66,0.05,4.4,0.07,2.46,0.11,0.75,0.05,2.7,0.08,2.19,0.11,1.73,0.04,3.78,0.09,0.0504,0.0009,0.158,0.0011,2.58,0.04,1.92,0.05,1.8,0.06,1.27,0.04,0.65,0.03,0.55,0.03,2.06,0.04,0.0315,0.0009,0.0496,0.0008
283,B386-G322,-0.024,0.003,-0.002,0.003,0.52,0.05,3.27,0.07,1.69,0.1,0.43,0.05,2.11,0.07,1.08,0.1,1.95,0.04,2.72,0.08,0.0417,0.0008,0.1138,0.0009,1.78,0.04,1.6,0.04,1.2,0.05,0.86,0.04,0.52,0.03,0.32,0.03,1.91,0.03,0.0166,0.0008,0.0299,0.0007
284,B387-G323,-0.083,0.005,-0.062,0.006,0.05,0.1,0.73,0.16,-0.05,0.24,0.08,0.12,0.46,0.19,-0.55,0.27,2.69,0.1,0.62,0.22,0.0128,0.0021,0.0439,0.0024,0.63,0.1,0.55,0.11,0.47,0.13,0.36,0.1,-0.05,0.07,0.16,0.07,0.97,0.1,0.0087,0.0021,-0.0029,0.0017
285,B391-G328,-0.042,0.01,-0.02,0.012,0.37,0.19,3.91,0.29,0.85,0.5,0.55,0.22,2.52,0.31,0.73,0.46,1.47,0.18,3.12,0.37,0.0334,0.0037,0.1126,0.0043,1.55,0.18,1.37,0.19,1.12,0.22,0.71,0.17,0.5,0.14,0.34,0.13,1.37,0.19,0.0176,0.0038,0.024,0.0031
286,B393-G330,-0.021,0.014,0.0,0.018,0.8,0.28,5.05,0.43,2.84,0.73,0.56,0.33,2.61,0.47,0.79,0.7,1.51,0.27,2.79,0.55,0.0448,0.0055,0.1273,0.0064,1.93,0.26,1.31,0.29,1.76,0.32,0.84,0.25,0.6,0.21,0.4,0.2,1.58,0.29,0.0033,0.0058,0.0244,0.0046
287,B396-G335,-0.105,0.008,-0.088,0.01,0.18,0.16,0.89,0.27,-0.01,0.43,0.05,0.21,0.34,0.31,0.35,0.45,2.65,0.17,1.17,0.38,0.022,0.0038,0.0499,0.0043,0.77,0.18,0.71,0.2,0.57,0.24,0.02,0.18,-0.16,0.14,0.05,0.13,0.98,0.18,0.0082,0.0038,0.0005,0.0032
288,B397-G336,-0.051,0.008,-0.022,0.01,0.37,0.15,2.94,0.25,1.53,0.39,0.3,0.19,1.95,0.28,1.74,0.4,2.33,0.15,2.33,0.33,0.0302,0.0033,0.0974,0.0038,1.57,0.15,1.3,0.17,1.09,0.2,0.72,0.15,0.58,0.12,0.37,0.11,1.21,0.16,0.0162,0.0033,0.0185,0.0026
289,B398-G341,0.062,0.021,0.088,0.026,1.0,0.37,5.6,0.57,3.6,0.95,0.74,0.42,3.21,0.59,3.24,0.85,1.56,0.33,4.59,0.67,0.056,0.0069,0.1923,0.0082,3.53,0.31,2.15,0.35,2.19,0.39,1.24,0.3,1.06,0.25,0.66,0.24,2.32,0.37,0.0309,0.0072,0.063,0.0057
290,B399-G342,-0.064,0.015,-0.048,0.019,-0.06,0.3,2.17,0.49,0.58,0.86,-0.26,0.38,1.26,0.55,-0.9,0.81,2.61,0.3,1.03,0.66,0.0117,0.0065,0.0466,0.0073,1.14,0.3,0.72,0.34,0.82,0.4,0.21,0.3,0.43,0.27,0.12,0.25,1.32,0.38,0.0121,0.0075,0.0043,0.0058
291,B401-G344,-0.099,0.009,-0.083,0.012,0.04,0.19,1.15,0.32,0.21,0.53,-0.11,0.24,1.02,0.36,0.78,0.52,2.88,0.2,0.54,0.44,-0.001,0.0043,0.0413,0.0049,0.98,0.2,0.79,0.23,0.58,0.27,0.28,0.2,0.11,0.17,0.04,0.16,0.64,0.23,0.0135,0.0047,-0.0022,0.0037
292,B403-G348,0.011,0.008,0.029,0.01,0.73,0.15,4.19,0.23,2.79,0.36,0.43,0.18,2.11,0.25,1.77,0.37,1.45,0.14,3.41,0.29,0.0422,0.0029,0.151,0.0035,2.58,0.14,1.62,0.15,1.52,0.17,1.03,0.13,0.77,0.1,0.56,0.1,2.34,0.13,0.0248,0.0029,0.0493,0.0023
293,B405-G351,-0.062,0.004,-0.034,0.005,0.36,0.08,2.38,0.14,1.18,0.21,0.34,0.1,1.52,0.15,0.22,0.23,2.56,0.09,1.89,0.19,0.0269,0.0018,0.0847,0.0021,1.28,0.09,1.21,0.1,1.22,0.11,0.69,0.08,0.37,0.06,0.19,0.06,1.45,0.08,0.0092,0.0018,0.0108,0.0015
294,B422,-0.042,0.017,-0.025,0.021,0.67,0.32,3.95,0.52,2.42,0.88,0.35,0.4,2.23,0.58,0.98,0.85,1.97,0.32,2.54,0.69,0.0354,0.007,0.0888,0.008,1.47,0.33,1.04,0.36,1.49,0.42,0.63,0.32,0.76,0.27,0.56,0.26,1.95,0.4,-0.0002,0.0078,0.0205,0.0061
295,B457-G097,-0.089,0.015,-0.062,0.019,0.25,0.31,2.33,0.49,0.88,0.77,-0.2,0.38,1.31,0.55,0.67,0.8,2.09,0.31,1.64,0.64,0.0296,0.0063,0.0909,0.0073,1.37,0.3,1.25,0.33,1.4,0.38,0.91,0.28,0.58,0.22,0.28,0.21,1.42,0.29,0.0184,0.0061,0.0115,0.005
296,B461-G131,0.031,0.007,0.051,0.009,0.54,0.13,4.54,0.21,2.61,0.33,0.65,0.16,2.68,0.22,1.72,0.33,1.71,0.13,3.9,0.26,0.0552,0.0027,0.1563,0.0031,2.57,0.12,2.14,0.14,1.75,0.16,0.9,0.12,0.64,0.1,0.45,0.09,1.91,0.13,0.0136,0.0026,0.0296,0.0021
297,B462,-0.098,0.01,-0.089,0.013,0.0,0.2,0.42,0.34,-0.21,0.55,0.24,0.25,0.18,0.39,0.46,0.55,2.47,0.21,0.85,0.45,0.0151,0.0044,0.0423,0.005,0.49,0.21,0.37,0.23,0.05,0.28,0.33,0.2,0.1,0.17,0.07,0.17,1.53,0.26,0.0132,0.0049,-0.0042,0.0038
298,B467-G202,-0.086,0.009,-0.067,0.011,-0.01,0.18,2.1,0.29,0.75,0.44,0.07,0.21,1.29,0.3,0.18,0.42,2.57,0.16,1.33,0.35,0.0179,0.0034,0.0633,0.004,1.15,0.16,0.91,0.18,1.02,0.21,0.58,0.16,0.35,0.13,-0.04,0.13,0.93,0.19,0.0061,0.0037,0.001,0.003
299,B472-D064,-0.041,0.002,-0.014,0.002,0.36,0.04,2.91,0.06,1.3,0.09,0.4,0.05,1.92,0.07,1.22,0.11,2.21,0.04,2.47,0.09,0.0379,0.0009,0.1061,0.0011,1.52,0.04,1.56,0.05,1.43,0.06,0.78,0.04,0.5,0.03,0.31,0.03,1.94,0.04,0.0131,0.0009,0.0164,0.0008
300,B486-G316,-0.1,0.014,-0.063,0.018,0.2,0.28,1.6,0.45,-0.09,0.71,0.13,0.34,0.78,0.5,-0.22,0.71,2.75,0.26,2.21,0.53,0.019,0.0053,0.0695,0.0059,0.78,0.25,1.15,0.27,0.88,0.31,0.32,0.23,0.16,0.18,0.11,0.17,1.36,0.24,0.007,0.0048,0.0058,0.0039
301,AU010,0.07,0.02,0.093,0.025,0.78,0.37,5.01,0.6,4.24,0.85,0.77,0.45,3.51,0.62,2.14,0.93,2.12,0.36,4.24,0.76,0.0926,0.0078,0.2233,0.0092,3.6,0.35,2.5,0.39,1.67,0.46,1.77,0.33,0.91,0.26,0.46,0.25,3.91,0.32,0.0346,0.0072,0.075,0.0061
302,BH04,-0.116,0.042,-0.102,0.054,-0.43,0.87,4.13,1.35,-0.11,2.42,-0.17,1.0,2.56,1.36,4.6,1.91,2.88,0.83,4.23,1.65,0.0061,0.0173,0.086,0.0202,0.57,0.86,2.01,0.88,2.44,1.03,1.92,0.78,-0.05,0.72,0.69,0.67,-1.78,1.23,0.0416,0.0211,-0.0038,0.0164
303,BH18,0.097,0.025,0.103,0.032,0.93,0.45,5.61,0.67,3.06,1.07,0.91,0.49,3.3,0.69,4.51,0.97,1.76,0.39,5.29,0.77,0.0846,0.0081,0.1993,0.0094,3.52,0.36,2.81,0.39,2.77,0.45,1.43,0.34,0.92,0.27,1.39,0.24,4.06,0.34,0.0425,0.0073,0.0808,0.0059
304,DAO55,-0.045,0.039,-0.013,0.049,0.56,0.77,5.66,1.11,-2.2,2.22,1.32,0.88,2.4,1.3,4.03,1.79,1.98,0.71,4.05,1.42,0.039,0.0148,0.0943,0.0167,1.96,0.67,3.05,0.72,3.1,0.81,1.02,0.63,1.89,0.52,0.76,0.5,1.55,0.71,0.0357,0.0147,0.074,0.0121
305,M009,-0.094,0.007,-0.075,0.009,0.25,0.14,1.63,0.23,0.41,0.37,0.11,0.18,1.03,0.26,0.01,0.38,2.47,0.15,1.2,0.32,0.0133,0.0031,0.0606,0.0036,0.92,0.15,0.8,0.17,0.69,0.2,0.4,0.15,0.37,0.12,0.26,0.11,1.12,0.16,0.0098,0.0033,0.0021,0.0028
306,M019,-0.058,0.009,-0.033,0.012,0.29,0.19,1.97,0.31,1.02,0.46,0.25,0.23,1.52,0.34,1.38,0.5,2.32,0.2,2.38,0.42,0.0303,0.0042,0.0949,0.0049,1.13,0.2,0.94,0.23,1.15,0.26,0.68,0.19,0.31,0.16,0.29,0.15,1.79,0.21,0.0178,0.0044,0.0126,0.0037
307,MITA140,0.134,0.018,0.16,0.022,0.91,0.3,4.43,0.45,4.45,0.62,1.3,0.29,3.21,0.39,4.62,0.51,1.22,0.2,5.05,0.36,0.093,0.0035,0.2522,0.0041,3.98,0.16,2.64,0.16,2.29,0.18,1.42,0.13,0.96,0.09,0.82,0.09,5.31,0.11,0.0342,0.0024,0.0807,0.0019
308,NB16,-0.132,0.053,-0.091,0.067,-0.22,1.07,0.35,1.7,0.73,2.46,0.05,1.12,2.54,1.52,1.37,2.17,2.32,0.82,0.87,1.6,0.0212,0.0151,0.0749,0.0167,0.42,0.71,1.24,0.75,0.76,0.88,0.18,0.64,0.92,0.46,0.43,0.44,6.04,0.56,0.0313,0.0124,-0.0166,0.0095
309,NB21-AU5,0.021,0.014,0.041,0.018,0.77,0.27,3.05,0.47,2.96,0.73,0.69,0.39,2.23,0.59,3.0,0.87,1.81,0.36,3.63,0.78,0.0475,0.0079,0.169,0.0094,1.65,0.38,1.1,0.44,1.53,0.51,0.83,0.38,0.31,0.29,0.43,0.28,1.52,0.37,0.0172,0.0082,0.0338,0.0071
310,PHF6-1,0.104,0.018,0.149,0.021,0.82,0.31,4.98,0.47,4.54,0.63,0.95,0.31,3.25,0.44,4.38,0.6,1.41,0.24,4.97,0.46,0.0871,0.0047,0.2337,0.0055,4.0,0.21,2.62,0.23,2.29,0.26,1.53,0.19,0.95,0.14,0.68,0.14,3.51,0.18,0.0438,0.0039,0.075,0.0033
311,V129-BA4,-0.078,0.005,-0.053,0.006,0.42,0.1,2.14,0.16,0.26,0.25,0.15,0.12,1.17,0.17,0.7,0.24,2.29,0.09,1.57,0.2,0.0166,0.0019,0.0677,0.0022,0.92,0.09,1.04,0.1,0.87,0.12,0.36,0.09,0.22,0.07,0.09,0.07,1.17,0.1,0.0042,0.002,0.0089,0.0016
312,B522,-0.089,0.055,-0.08,0.071,1.08,0.94,5.52,1.6,3.41,2.55,1.53,1.12,2.88,1.61,4.99,2.2,1.87,0.93,5.55,1.75,0.0603,0.0192,0.2056,0.0231,2.51,0.93,1.82,0.95,2.59,1.07,0.94,0.81,0.49,0.74,0.59,0.67,2.15,1.06,0.0032,0.0204,0.0304,0.0161
